SampleID,Compound,Replicate,Concentration,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
DMSO_P04,DMSO,1,0.0,0.004132231404958678,0.384297520661157,0.10743801652892562,0.3071625344352617,0.14600550964187328,0.05096418732782369
DMSO_A12,DMSO,2,0.0,0.021004566210045664,0.354337899543379,0.0776255707762557,0.3360730593607306,0.14337899543378996,0.06757990867579909
DMSO_A20,DMSO,2,0.0,0.018272425249169437,0.33554817275747506,0.1212624584717608,0.3521594684385382,0.09800664451827243,0.07475083056478406
DMSO_B20,DMSO,2,0.0,0.008174386920980926,0.36239782016348776,0.08719346049046321,0.3405994550408719,0.0653950953678474,0.1362397820163488
DMSO_C04,DMSO,2,0.0,0.05042864346949067,0.31870902672718104,0.07866868381240545,0.37317196167423095,0.12405446293494705,0.054967221381744834
DMSO_C12,DMSO,2,0.0,0.12046543463381246,0.3066392881587953,0.06913073237508556,0.3210130047912389,0.12114989733059549,0.061601642710472276
DMSO_C20,DMSO,2,0.0,0.10376569037656903,0.3112970711297071,0.11882845188284519,0.295397489539749,0.099581589958159,0.07112970711297072
DMSO_D12,DMSO,2,0.0,0.30833333333333335,0.2791666666666667,0.13333333333333333,0.15625,0.03958333333333333,0.08333333333333333
DMSO_F04,DMSO,2,0.0,0.30007704160246534,0.24884437596302003,0.09514637904468413,0.22226502311248075,0.07858243451463791,0.05508474576271186
DMSO_F12,DMSO,2,0.0,0.031384615384615386,0.30030769230769233,0.11015384615384616,0.376,0.104,0.07815384615384616
DMSO_G12,DMSO,2,0.0,0.06861313868613139,0.3167883211678832,0.051094890510948905,0.32992700729927005,0.1781021897810219,0.05547445255474453
DMSO_G20,DMSO,2,0.0,0.14545454545454545,0.32181818181818184,0.07818181818181819,0.2690909090909091,0.11090909090909092,0.07454545454545454
DMSO_H02,DMSO,2,0.0,0.24664429530201343,0.2860738255033557,0.08305369127516779,0.24748322147651006,0.07466442953020135,0.06208053691275168
DMSO_H04,DMSO,2,0.0,0.05631868131868132,0.29945054945054944,0.0782967032967033,0.3489010989010989,0.16346153846153846,0.05357142857142857
DMSO_H05,DMSO,2,0.0,0.0056657223796034,0.38243626062322944,0.043909348441926344,0.34985835694050993,0.17422096317280453,0.043909348441926344
DMSO_H07,DMSO,2,0.0,0.01601423487544484,0.3487544483985765,0.03914590747330961,0.38256227758007116,0.14768683274021352,0.06583629893238434
DMSO_H08,DMSO,2,0.0,0.20078740157480315,0.3110236220472441,0.14763779527559054,0.22440944881889763,0.06692913385826772,0.04921259842519685
DMSO_H09,DMSO,2,0.0,0.17115384615384616,0.29615384615384616,0.13846153846153847,0.2230769230769231,0.0673076923076923,0.10384615384615385
DMSO_H10,DMSO,2,0.0,0.14691943127962084,0.2890995260663507,0.11690363349131122,0.2638230647709321,0.12480252764612954,0.05845181674565561
DMSO_H14,DMSO,2,0.0,0.006578947368421052,0.33223684210526316,0.07401315789473684,0.36348684210526316,0.12171052631578948,0.10197368421052631
DMSO_H15,DMSO,2,0.0,0.007656967840735069,0.36906584992343033,0.07656967840735068,0.31546707503828486,0.13016845329249618,0.10107197549770292
DMSO_H18,DMSO,2,0.0,0.01929260450160772,0.34887459807073956,0.0594855305466238,0.36012861736334406,0.14067524115755628,0.07154340836012862
DMSO_H21,DMSO,2,0.0,0.227994227994228,0.2712842712842713,0.09523809523809523,0.23376623376623376,0.11255411255411256,0.05916305916305916
